Week,Day,Time,ID,Type,ID,Type,ID,Type,ID,Type,ID,Type
1,Tue,Morning,0,Inguinal Hernia Repair,1,Pediatrics,4,Pediatrics,0,Anesthesiologist,1,Nurse
1,Mon,Morning,1,Coronary Artery Bypass Graft,10,Cardiology,1,Surgical Room,0,Anesthesiologist,4,Nurse
1,Mon,Morning,2,Fracture Repair,2,Orthopedics,1,Surgical Room,1,Anesthesiologist,4,Nurse
1,Mon,Morning,3,Fracture Repair,2,Orthopedics,6,Surgical Room,1,Anesthesiologist,8,Nurse
1,Mon,Morning,4,Valve Replacement,10,Cardiology,2,Surgical Room,0,Anesthesiologist,0,Nurse
1,Wed,Morning,5,Brain Tumor Removal,0,Neurology,2,Surgical Room,3,Anesthesiologist,0,Nurse
1,Wed,Morning,6,Appendectomy,3,Surgery,1,Surgical Room,2,Anesthesiologist,0,Nurse
1,Fri,Morning,7,Fracture Repair,2,Orthopedics,5,Surgical Room,2,Anesthesiologist,2,Nurse
1,Wed,Morning,8,Gallbladder Removal,3,Surgery,5,Surgical Room,2,Anesthesiologist,1,Nurse
1,Tue,Morning,9,Valve Replacement,10,Cardiology,1,Surgical Room,1,Anesthesiologist,1,Nurse
1,Tue,Morning,10,Valve Replacement,10,Cardiology,2,Surgical Room,1,Anesthesiologist,3,Nurse
1,Tue,Morning,11,Valve Replacement,10,Cardiology,6,Surgical Room,1,Anesthesiologist,9,Nurse
1,Fri,Morning,12,Spinal Fusion,0,Neurology,5,Surgical Room,6,Anesthesiologist,2,Nurse
1,Wed,Morning,13,Valve Replacement,10,Cardiology,7,Surgical Room,2,Anesthesiologist,5,Nurse
1,Thu,Morning,14,Appendectomy,3,Surgery,5,Surgical Room,0,Anesthesiologist,3,Nurse
1,Fri,Morning,15,Spinal Fusion,0,Neurology,7,Surgical Room,2,Anesthesiologist,4,Nurse
1,Thu,Morning,16,Coronary Artery Bypass Graft,10,Cardiology,1,Surgical Room,4,Anesthesiologist,1,Nurse
1,Fri,Morning,17,Fracture Repair,2,Orthopedics,7,Surgical Room,6,Anesthesiologist,4,Nurse
1,Mon,Morning,18,Joint Replacement,6,Orthopedics,2,Surgical Room,2,Anesthesiologist,0,Nurse
1,Sat,Morning,19,Joint Replacement,6,Orthopedics,1,Surgical Room,3,Anesthesiologist,0,Nurse
1,Sat,Morning,20,Fracture Repair,6,Orthopedics,5,Surgical Room,6,Anesthesiologist,3,Nurse
1,Thu,Morning,21,Gallbladder Removal,3,Surgery,1,Surgical Room,6,Anesthesiologist,1,Nurse
1,Thu,Morning,22,Coronary Artery Bypass Graft,10,Cardiology,2,Surgical Room,4,Anesthesiologist,2,Nurse
1,Wed,Morning,23,Inguinal Hernia Repair,1,Pediatrics,3,Pediatrics,2,Anesthesiologist,6,Nurse
